OBJECTID,FMR_0BDR,FMR_1BDR,FMR_2BDR,FMR_3BDR,FMR_4BDR,FMR_AREANAME,FMR_CODE,FMR_4PLUSBDR,Shape__Area,Shape__Length
2001,596,611,700,1012,1230,"Adams County, ND",NCNTY38001N38001,1230,5324474189.64844,330486.182801587
2002,577,581,768,1110,1129,"Barnes County, ND",NCNTY38003N38003,1129,8403592067.39453,373948.553952585
2003,596,611,700,915,1107,"Benson County, ND",NCNTY38005N38005,1107,8343753673.25391,536859.252059637
2004,596,611,700,933,1049,"Wells County, ND",NCNTY38103N38103,1049,7342263163.93359,350599.899313107
2005,634,772,965,1300,1304,"Williams County, ND",NCNTY38105N38105,1304,12584442504.875,561192.464623603
2006,533,536,682,854,922,"Adams County, OH",NCNTY39001N39001,922,2506811360.33203,223738.149822016
2007,467,530,691,916,1103,"Ashland County, OH",NCNTY39005N39005,1103,1933416810.92188,217858.919678543
2008,438,564,682,854,959,"Meigs County, OH",NCNTY39105N39105,959,1863649586.22656,241300.011986023
2009,512,516,682,874,922,"Mercer County, OH",NCNTY39107N39107,922,2125269413.30859,192084.161780539
2010,712,835,1040,1377,1678,"Carroll County, NH",NCNTY33003N33003,1678,4948122221,407826.498284343
2011,747,841,1096,1477,1602,"Cheshire County, NH",NCNTY33005N33005,1602,3522805959.75,288439.091131361
2012,609,694,803,1034,1192,"Coos County, NH",NCNTY33007N33007,1192,9376870819.96484,613348.249552477
2013,697,811,1062,1331,1865,"Grafton County, NH",NCNTY33009N33009,1865,8742136129.71094,510751.665223497
2014,808,875,1122,1498,1659,"Merrimack County, NH",NCNTY33013N33013,1659,4678588099.86328,336885.952131927
2015,555,567,700,908,1050,"Chautauqua County, NY",NCNTY36013N36013,1050,5127196435.03125,311745.075704136
2016,537,541,715,1001,1256,"Washington County, NC",NCNTY37187N37187,1256,1487076850.82031,181684.781817696
2017,596,611,700,912,967,"McIntosh County, ND",NCNTY38051N38051,967,5359663396.1875,304751.032107111
2018,776,781,1033,1294,1549,"McKenzie County, ND",NCNTY38053N38053,1549,16374325596.1992,666585.557498323
2019,596,611,700,973,1169,"McLean County, ND",NCNTY38055N38055,1169,13256903001.2656,652130.943059767
2020,598,602,796,1036,1398,"Mercer County, ND",NCNTY38057N38057,1398,6263991419.65234,414253.805200483
2021,585,589,779,976,1168,"Pierce County, ND",NCNTY38069N38069,1168,6317332424.10938,415374.391373579
2022,575,578,700,1012,1230,"Ramsey County, ND",NCNTY38071N38071,1230,7599008412.48828,479723.449754351
2023,572,575,761,1003,1141,"Ransom County, ND",NCNTY38073N38073,1141,4712362442.19141,280192.743944169
2024,538,541,716,1033,1258,"Renville County, ND",NCNTY38075N38075,1258,5307606053.75,396358.291978918
2025,540,543,700,1012,1155,"Richland County, ND",NCNTY38077N38077,1155,7831060094.41016,463440.941243561
2026,596,611,700,1010,1049,"Rolette County, ND",NCNTY38079N38079,1049,5596137704.64844,307070.271208992
